vehicleId,duration_sec,distance_km,avg_speed,max_speed,speed_std,mean_accel,max_accel,accel_std,count_hard_brakes,harsh_accel_count,idling_time,stop_count,day_of_week,hour_of_day,safety_score
MAT464815PSF07340,0.0,1.9805374930692376e-09,14.861954827213712,28.424061916666663,10.097411581188462,-39921596.994048566,355169329.52182937,202099245.47589663,10.0,9.0,2e-08,2.0,3.0,0.0,50.84240619166667
MAT464815PSH08547,0.0,2.9999999999999997e-12,0.0835961538461538,0.2379807692307692,0.1162897908613644,-303685.8974358974,0.0,541624.585871111,2.0,0.0,6.7e-07,0.0,3.0,0.0,6.023798076923077
MAT464817PSE04957,0.0,1.4661955993060147e-10,1.432990815831778,3.324312967032967,1.1496497479399246,-9771781.00103355,9040841.136079906,24715659.78091968,3.0,2.0,2e-08,2.0,3.0,0.0,13.332431296703296
MAT464817PSE04959,1e-06,6.2485974320642785e-09,14.16314394737224,33.197498555555576,10.358426805709234,-45933378.41345881,433902235.0427351,275412677.5262039,14.0,16.0,2.2e-07,3.0,3.0,0.0,77.31974985555556
MAT464817PSE05326,1e-06,4.7180855896864115e-09,12.040453258157743,35.08124891666668,11.880487267496742,-16771624.803478964,293972676.9227908,138032370.39464632,17.0,16.0,5e-07,4.0,3.0,0.0,86.50812489166667
MAT464817PSE05340,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0
MAT505159L5P10172,1e-06,4.499392569985571e-09,15.900262179000894,50.910156,14.51250485687044,2801638.770062367,606261861.1111109,259426615.95069796,16.0,23.0,8.9e-07,2.0,3.0,0.0,99.0910156
MAT505159LAJ02219,0.0,1.6601734981481483e-09,8.38107761231884,29.876559000000004,9.370178596851677,-20919410.111096296,514854541.6666667,231336407.9493534,10.0,12.0,2e-07,6.0,3.0,0.0,56.9876559
MAT505159LAP03655,0.0,3.421682587093153e-09,21.35241722299923,47.821874,15.73270663522996,-66087402.34628473,802842972.2222222,371248036.8248493,12.0,12.0,1.4e-07,3.0,3.0,0.0,64.7821874
MAT505159M5B01469,1e-06,3.263722154186708e-09,13.50404193966811,33.132028000000005,8.861967070621121,12014681.992678097,516478518.51851857,219555416.82028687,21.0,26.0,7.1e-07,4.0,3.0,0.0,118.3132028
MAT505159M5F07242,2e-06,2.1932931388888882e-10,0.6326559333333333,7.7187459999999986,2.0126742564742224,-12864576.666666662,21440961.11111111,44475354.37506055,2.0,1.0,1.97e-06,1.0,3.0,0.0,8.7718746
MAT505159M5F07244,0.0,2.401225638888888e-09,17.18359,18.87109,1.943538975683276,574269.1925642116,3651819.923371648,2834389.0052294424,1.0,1.0,0.0,0.0,3.0,0.0,6.887109
MAT505159M5F07249,0.0,1.3220664971139968e-10,0.7517239332096474,3.031245714285714,1.275572592266742,-11643953.583453584,56127626.26262626,46204625.383119695,2.0,2.0,4e-08,2.0,3.0,0.0,10.30312457142857
MAT505159M5F07821,0.0,6.77202576388889e-11,11.661152768518518,21.588279,9.44310392275706,-72343998.19958846,305114262.34567904,418348218.89266807,1.0,1.0,0.0,0.0,3.0,0.0,7.1588279
MAT505159M5G08833,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.349999999999999e-06,0.0,3.0,0.0,0.0
MAT505159M5G08834,1e-06,5.019842393916269e-10,3.097113096030407,15.765625,4.4541111493437935,-971354.2540500168,437934027.7777777,156019539.62705877,11.0,13.0,7.799999999999999e-07,6.0,3.0,0.0,60.5765625
MAT505159M8A01542,1e-06,2.3189934082301182e-09,8.048457661205653,32.732809,10.419740100084224,-29170031.43879045,505078111.1111112,200713109.0070099,10.0,14.0,8.599999999999999e-07,4.0,3.0,0.0,61.2732809
MAT505159M8D06682,0.0,4.967659637145261e-10,7.987822495516389,43.08281,12.553243720150508,-25469570.8994709,653884583.3333334,338852312.2058911,3.0,6.0,2.8e-07,2.0,3.0,0.0,25.308281
MAT505159M8D06686,0.0,0.0,0.152864,0.458592,0.2647682146482089,-4246222.222222223,0.0,7354672.629116912,1.0,0.0,1.1e-07,0.0,3.0,0.0,3.0458592
MAT505159M8J12876,1e-06,5.8755365198457796e-09,15.157495474011352,42.39843666666667,11.964335274867077,-16522018.94347326,554246212.9629629,235023561.3683253,18.0,17.0,6.8e-07,3.0,3.0,0.0,92.23984366666667
MAT505159M8J12972,0.0,4.552347901234568e-11,5.722601236111111,10.511718,4.332626213746821,-45152447.91666666,111382375.0,125798328.33942148,2.0,1.0,1e-08,1.0,3.0,0.0,9.0511718
MAT505159M8J13210,0.0,6.292734024170273e-10,4.4459381931045145,18.007807142857146,5.93114843108873,380422.752958022,297308948.41269857,150514055.88263634,7.0,6.0,2.1e-07,4.0,3.0,0.0,34.800780714285715
MAT505159M8J13211,2e-06,1.3905399468093632e-09,2.873439141530097,48.77691,9.856746005896644,22859036.93819999,1164375956.7901232,140306286.26040414,5.0,10.0,2.08e-06,3.0,3.0,0.0,39.877691
MAT505159M8J14104,0.0,1.265213185795454e-09,20.67486831680441,42.17578125,15.573081205386732,88829408.25795168,1016448680.5555556,362157357.8329303,6.0,4.0,5.900000000000001e-07,1.0,3.0,0.0,30.217578125
MAT505233M8G10204,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35e-06,0.0,3.0,0.0,0.0
MAT505233M8J12541,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0
MAT505233N8B02979,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999999995e-07,0.0,3.0,0.0,0.0
MAT505233N8F12682,1e-06,2.701808881839226e-09,16.56990103060606,43.924998,14.064673333567098,-32555316.75183938,512862979.7979798,336061574.35562354,13.0,11.0,9.2e-07,4.0,3.0,0.0,65.3924998
MAT505233P8C04019,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35e-06,0.0,3.0,0.0,0.0
MAT505234M8D06868,1e-06,3.4173046681475932e-09,11.14402687316812,50.99739333333333,10.680342800140776,241112.85096448005,425230066.137566,213309831.5973433,15.0,21.0,1.9e-07,3.0,3.0,0.0,92.09973933333333
MAT505237MFN03573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.299999999999999e-07,0.0,3.0,0.0,0.0
MAT535324PYD16834,1e-06,7.56732603815937e-10,5.247424242424243,28.545454545454547,9.363018636920962,-32351003.268115807,409722222.2222222,292771816.00874555,4.0,4.0,1.16e-06,2.0,3.0,0.0,22.854545454545455
MAT535324PYD16853,0.0,7.133240717615717e-10,4.125571019889201,13.0,3.5488385074841067,-47319694.94066269,27777777.77777777,75828094.48456326,6.0,4.0,1e-08,1.0,3.0,0.0,27.3
MAT535324PYD17543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000000000000004e-08,0.0,3.0,0.0,0.0
MAT535324PYE20634,0.0,2.708107363315697e-09,12.490592903828198,28.1,9.287726474600015,-14703149.51932599,538492063.4920634,254440490.8852017,8.0,8.0,1.1e-07,2.0,3.0,0.0,42.81
MAT535324PYE24207,0.0,3.2798555996472663e-10,5.399041005291006,8.80952380952381,3.132960584808181,23383303.938859496,142592592.5925926,60646706.22174248,2.0,3.0,0.0,0.0,3.0,0.0,12.880952380952381
MAT535324PYE24316,0.0,1.3974213469279256e-09,12.408007879481657,37.7,10.541241844393738,3427516.2945373347,569444444.4444444,265516017.7426536,8.0,8.0,4e-08,2.0,3.0,0.0,43.77
MAT535324PYF26692,0.0,1.3405930335097e-09,17.651349206349206,36.85,15.14261637455148,-113746913.58024693,412500000.0,426536454.8915352,4.0,5.0,1e-08,1.0,3.0,0.0,25.685000000000002
MAT535324PYG34141,2e-06,3.4858041374666117e-09,10.437487186407113,27.80952380952381,9.10407723660943,20563683.06227329,746913580.2469136,211232274.69014,21.0,30.0,1.01e-06,9.0,3.0,0.0,125.78095238095239
MAT555001LAN02990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,3.0,0.0,0.0
MAT555001M8J12430,2e-06,7.639008967592592e-09,11.914030606060605,48.45703,12.472169162331916,34639264.38905634,673014305.5555556,254617798.2634229,9.0,10.0,6.1e-07,4.0,3.0,0.0,51.845703
MAT555001M8J12913,2e-06,1.0488209419531006e-08,18.274503533311844,46.576170000000005,12.075736044083742,-6576583.97494089,507128875.0,230101124.1633006,48.0,50.0,7.5e-07,9.0,3.0,0.0,248.657617
MAT555001P8C04612,1e-06,6.834616723316497e-09,21.72297057158541,53.48307,10.739361988825634,6734369.230956917,941044527.7777776,307154787.73930186,31.0,35.0,1.8e-07,4.0,3.0,0.0,168.348307
MAT555013P8D05467,2e-06,6.150520545542257e-09,11.024944601798126,32.01212373134328,7.090635974518052,-5886507.466029631,420935316.066725,154044512.3910073,29.0,29.0,3.1e-07,7.0,3.0,0.0,148.20121237313433
MAT555013P8E06262,0.0,2.492286509870482e-09,11.349960645070318,31.689879830508502,10.005745958270614,-4469215.238188901,505421147.7987417,212172559.67830032,19.0,14.0,3.2e-07,6.0,3.0,0.0,88.16898798305085
MAT555013P8E06554,1e-06,1.491726344510223e-09,7.535496715989389,23.87271866666668,7.674911448646293,706363.9115437883,531705662.0370372,213845035.7385701,11.0,13.0,6e-07,3.0,3.0,0.0,61.387271866666666
MAT555013P8E06931,1e-06,3.145125205657982e-09,10.93684305710828,25.56438416666669,8.11191354519845,11533933.138544062,389122540.19019,142900613.86790192,15.0,14.0,2.2e-07,3.0,3.0,0.0,75.55643841666667
MAT555013P8F08689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,3.0,0.0,0.0
MAT555014P8E06210,1e-06,2.41242507216122e-09,15.47037710603967,37.30982791666669,11.276644194652372,-1556490.528083052,379272491.16161615,278388839.1484363,7.0,9.0,6.1e-07,2.0,3.0,0.0,42.73098279166667
MAT555014P8E07156,1e-06,3.07176381468031e-10,3.937597735609522,15.465648620689649,5.9947782264511495,666292.1800853155,214800675.28735623,186182039.11745653,3.0,4.0,9.799999999999995e-07,1.0,3.0,0.0,18.546564862068966
MAT557019NUG05835,2e-06,5.158938305050506e-09,7.149551834988542,40.229998,10.151072536772228,-2395252.849018393,761736111.1111112,232596730.7427675,27.0,45.0,9e-07,10.0,3.0,0.0,175.0229998
MAT557022NUJ06747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9e-07,0.0,3.0,0.0,0.0
MAT557029NUA00650,0.0,0.0,1.44,1.44,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.144
MAT558001NVD21911,0.0,1.491406236111111e-09,12.234107,22.08375,10.270737305551291,-17442228.20512822,315833333.3333333,279877937.1473587,3.0,3.0,1e-08,1.0,3.0,0.0,17.208375
MAT558001PVA03932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7e-07,0.0,3.0,0.0,0.0
MAT558001PVA06062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-07,0.0,3.0,0.0,0.0
MAT560002M7J15587,2e-06,1.0455813361779118e-08,11.800283993391272,55.30703000000001,19.046357918113696,10875452.207461078,1013093129.6296294,232372074.6419522,17.0,19.0,1.2099999999999994e-06,3.0,3.0,0.0,94.530703
MAT560002M7J15957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1000000000000005e-07,0.0,3.0,0.0,0.0
MAT560002M7J16119,1e-06,2.0155252583429533e-08,45.97445978794752,63.54296800000001,13.766611118698728,-26723158.7105624,594639777.7777778,329864314.5447242,26.0,36.0,2e-08,2.0,3.0,0.0,156.35429680000001
MAT560002N7C06950,1e-06,4.980888412198912e-09,32.59590958064158,60.15390500000001,20.197828173527675,-44574036.611681685,703246383.061383,367501963.9606176,14.0,11.0,1.3999999999999998e-07,2.0,3.0,0.0,70.0153905
MAT563010N7C06831,2e-06,3.704352523554994e-09,2.296185519829442,34.852210833333324,7.0020478239709645,-5734643.440454506,603493833.3333333,162126600.6317836,17.0,17.0,1.7400000000000005e-06,6.0,3.0,0.0,88.48522108333333
MAT563015N5B04164,0.0,2.1257673139770724e-09,17.768934602513227,60.26366900000001,19.267054740668232,42613288.81374725,1217280151.5151515,426021021.2231229,9.0,13.0,2.7e-07,2.0,3.0,0.0,59.0263669
MAT563015N5B04201,2e-06,6.996452560185187e-10,15.649179574074076,40.635545,15.384184220684691,-61968121.50205762,367849444.4444445,331261081.7405386,3.0,4.0,2.24e-06,1.0,3.0,0.0,21.063554500000002
MAT563016M5H11558,2e-06,7.279219748192857e-09,7.459668087401488,48.36458111111111,14.282427411622724,2785664.079504034,1075175507.154882,264978207.6226163,20.0,22.0,1.4799999999999998e-06,6.0,3.0,0.0,108.83645811111111
MAT563016M5H11624,2e-06,6.575866617143657e-10,1.6233363807168912,33.318357,6.175099705574066,9427056.522010226,740728522.7272727,100679317.51180218,12.0,10.0,2.249999999999999e-06,1.0,3.0,0.0,59.3318357
MAT563016M5J13618,2e-06,4.761665832656157e-09,14.154276940721315,47.428904,15.843730125561455,-14238313.216991557,1317469555.5555556,356338218.412601,18.0,20.0,1.27e-06,6.0,3.0,0.0,98.7428904
MAT563016M5K16228,1e-06,1.193380646741453e-09,7.662370214073428,41.49062300000001,12.78416467226942,-28993931.25878664,444010388.8888889,222249164.90689012,9.0,8.0,9.899999999999998e-07,3.0,3.0,0.0,47.1490623
MAT563016M5N17116,2e-06,7.045112706790121e-10,0.9979174646464644,31.49609111111111,4.615708776601056,4006679.357679357,256136916.66666663,37738308.36251361,5.0,8.0,2.23e-06,0.0,3.0,0.0,34.14960911111111
MAT563016M5N17542,0.0,2.5349895833333334e-12,2.687743125,4.46289,2.510436785829217,-49309635.41666666,0.0,69734355.1619227,1.0,0.0,1e-08,1.0,3.0,0.0,3.446289
MAT563016M5N17544,0.0,1.365331e-10,0.248242,0.496484,0.3510672031506218,69652.63748597082,139305.27497194163,98503.70458771657,0.0,1.0,9.9e-07,0.0,3.0,0.0,2.0496484
MAT563016M5N17872,2e-06,4.025860597902637e-09,3.721292318200524,52.79394333333334,10.17994565179962,-2681997.993392588,747547722.2222222,195133978.99611023,16.0,18.0,1.8700000000000003e-06,7.0,3.0,0.0,89.27939433333333
MAT563016MAP06990,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35e-06,0.0,3.0,0.0,0.0
MAT563016MAP06992,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42e-06,0.0,3.0,0.0,0.0
MAT563016MAP06996,0.0,6.8260262345679e-10,19.42760205555556,38.915622,16.60842681268575,-82703951.90796858,0.0,96324539.19015025,3.0,0.0,0.0,0.0,3.0,0.0,12.8915622
MAT563016MAP07070,0.0,8.660155555555556e-11,0.32712,0.55,0.2894382200055825,5077120.500782472,15277777.777777778,8834058.82251721,1.0,1.0,7.2e-07,0.0,3.0,0.0,5.055
MAT563016N5D06305,0.0,4.580361614898989e-09,37.96137235858586,60.728513,22.986675474696188,8119712.284885915,747526111.1111107,575703040.5632982,2.0,6.0,1e-08,1.0,3.0,0.0,24.0728513
MAT563016NAA00755,1e-06,1.2313815848442762e-08,35.096868208654875,52.852342,14.834278035630788,-26765833.65055279,1099826313.131313,343024764.0217881,26.0,19.0,5e-08,1.0,3.0,0.0,121.2852342
MAT565015P5B02474,0.0,4.320370921717172e-11,0.4423339694311536,3.7460925,1.0215425569053334,100919.1572154288,92098248.45679012,34395106.71959846,5.0,5.0,8.6e-07,3.0,3.0,0.0,25.37460925
MAT566011P1D12399,1e-06,3.838324161385881e-10,2.2564321357151766,15.646091749999986,4.138655985409467,14249329.22591085,428141826.3888884,116106240.91502048,12.0,14.0,9.3e-07,4.0,3.0,0.0,65.564609175
MAT566011P1E13360,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0
MAT566013P1F18134,0.0,1.233126030102061e-09,3.394640055108792,10.061326249999995,3.4767216390083537,-13241885.964379622,43198479.00702428,64594137.28763358,3.0,3.0,1e-08,0.0,3.0,0.0,16.006132625
MAT567005P3D11148,0.0,2.5909968637994303e-10,2.0922059906867654,9.758201375000002,3.513236214725176,-5186724.926657891,132901420.23408698,89197362.6275587,6.0,8.0,5.1e-07,3.0,3.0,0.0,34.9758201375
MAT567005P3E15161,0.0,2.294713451070146e-09,21.456614369262635,43.47577925000002,15.98449957343802,22634921.68458783,1027954949.0740747,435333740.85353935,9.0,9.0,2e-08,1.0,3.0,0.0,49.347577925
MAT567006P3F18426,0.0,2.4406175913742697e-11,2.1965558322368426,4.559113416666667,2.539983153487245,3.725290298461914e-09,126642039.35185188,99850968.78832558,2.0,1.0,1e-08,1.0,3.0,0.0,8.455911341666667
MAT567008P2F16905,0.0,2.4182407260794127e-09,8.964427597937533,28.114972000000005,8.936596793038452,-14862465.066056505,588616728.454416,236167677.82529765,27.0,17.0,2.7e-07,4.0,3.0,0.0,117.8114972
MAT567008P2F16939,0.0,1.795906080533704e-09,10.10141332546138,30.75403366666668,9.59858249348816,12575275.204176454,699819411.3325285,289353933.7342841,20.0,13.0,2.5e-07,3.0,3.0,0.0,89.07540336666666
MAT567008P3C07255,0.0,1.7296783509700197e-12,0.3113421031746035,0.6226842063492071,0.4403042248472877,8648391.754850097,17296783.509700194,12230672.91242466,0.0,1.0,1e-08,0.0,3.0,0.0,2.0622684206349207
MAT567008P3E14747,0.0,1.0543357861839155e-09,8.517756804627625,33.59049241666669,10.666424476181646,2362171.010652986,651439513.8888897,273353837.6315448,17.0,16.0,5.800000000000001e-07,6.0,3.0,0.0,86.35904924166667
MAT567011P3F19353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1e-07,0.0,3.0,0.0,0.0
MAT569002P3H23357,0.0,1.4697059386973182e-12,0.2043578643796658,0.2645470689655173,0.0851203894337599,835961.1748034921,1671922.3496069843,1182227.6310244442,0.0,1.0,2e-08,0.0,3.0,0.0,2.0264547068965517
MAT767169M7C07872,1e-06,1.4160852406751042e-08,34.58482895896983,58.786717,21.35074214458945,11427423.49081364,1277322000.0,400091521.3028631,43.0,41.0,7.1e-07,9.0,3.0,0.0,216.8786717
MAT767169M7C07996,1e-06,7.516883161554033e-09,17.673475195496636,34.956246,9.847266903334765,9724430.817099571,624870704.5454545,210786995.93626052,34.0,34.0,1.5e-07,5.0,3.0,0.0,173.4956246
MAT767169M7D09422,1e-06,4.273803136714366e-09,17.490851504930255,42.66445,13.701733409104373,-7484400.006753483,584355179.2929293,292837199.1198081,19.0,20.0,7.900000000000001e-07,2.0,3.0,0.0,101.266445
MAT767248N7G16635,0.0,6.278109660493828e-11,3.291607462962963,11.401557,5.090948231511288,33610221.70781893,316709916.6666666,143353500.3616573,2.0,1.0,1.6e-07,1.0,3.0,0.0,9.1401557
MAT767248N7G18150,1e-06,4.927221387802631e-09,14.822959617650426,38.47343500000001,10.568757528809869,-12238303.044271238,468328024.6913581,212946569.3935968,29.0,29.0,3.1e-07,5.0,3.0,0.0,148.8473435
MAT767248N7J23028,0.0,0.0,0.24707,0.49414,0.3494097448555206,-6863055.555555555,0.0,9705826.245986683,1.0,0.0,1e-08,0.0,3.0,0.0,3.049414
MAT767248N7N27758,1e-06,6.343490328282827e-10,9.097296613636365,24.98437181818182,10.353863516513332,-64153807.722222224,304429738.00505054,319212943.37458944,3.0,1.0,1e-08,1.0,3.0,0.0,13.498437181818183
MAT767248N7P29675,2e-06,2.251865530991462e-09,14.71665256751337,41.39026909090909,11.685274378973409,28320526.09757382,628255138.8888888,248977111.9922208,16.0,17.0,1.88e-06,4.0,3.0,0.0,86.13902690909092
MAT767249L7P12382,2e-06,8.069416763007055e-09,15.334625271176046,37.55976199999999,12.969861540665084,-30120405.928300414,735167000.0000001,283773836.82133174,21.0,18.0,7.100000000000001e-07,6.0,3.0,0.0,102.75597619999999
MAT767249M7H14054,0.0,7.917947129629629e-11,0.4491787666666667,0.9462875,0.3427428520511972,-2904657.297536771,223524.07407407416,6395429.144010801,2.0,2.0,8.9e-07,0.0,3.0,0.0,10.09462875
MAT767251L7N09411,2e-06,1.4216277321829407e-10,0.3229445214295735,9.584159090909091,1.356130953417234,2205070.0430228207,262458510.1010101,37408910.29943295,12.0,14.0,2.27e-06,4.0,3.0,0.0,64.9584159090909
MAT767252M7J15029,1e-06,1.2026157407407388e-13,0.0036078472222222,0.0432941666666666,0.0124979493896702,0.0,1202615.7407407388,512797.0748529172,1.0,1.0,1.4499999999999997e-06,0.0,3.0,0.0,5.004329416666667
MAT767305N7N26586,1e-06,8.097796881939589e-09,30.426411576582225,55.27929499999999,15.576481940339292,-22012893.153591964,641699222.2222223,310493032.480302,26.0,26.0,5.2e-07,4.0,3.0,0.0,135.5279295
MAT767305N7N27221,1e-06,1.2182531657848322e-09,6.843766919701213,28.799215000000004,8.381491972917006,23870143.190744843,438530750.00000006,233166070.4453964,9.0,7.0,6.6e-07,2.0,3.0,0.0,43.8799215
MAT767306M7C06493,2e-06,3.712173990099407e-09,5.166101287462146,59.78231363636364,11.98315205799896,5446241.805801136,845228605.4994385,211054572.4108844,18.0,21.0,1.8300000000000005e-06,3.0,3.0,0.0,101.97823136363637
MAT767306N7C06082,1e-06,3.020746311148882e-09,13.02067363995766,38.435934,12.22327585693244,-38248516.11273557,380306055.5555556,230932166.06245053,18.0,15.0,1.04e-06,2.0,3.0,0.0,87.8435934
MAT775005M1D09418,1e-06,3.766850604124579e-09,10.98753984509272,37.706247000000005,11.248581127354036,-3062975.1777727497,683672550.5050505,237752249.07866225,23.0,25.0,4.7e-07,5.0,3.0,0.0,122.7706247
MAT775005M1N26422,2e-06,8.234038811486892e-09,18.313951432282785,54.240622,18.23761427087905,30899650.12195125,1192100638.8888888,328752429.80137885,26.0,26.0,3.9e-07,5.0,3.0,0.0,135.4240622
MAT775005N1B06684,2e-06,1.5161012393939394e-09,0.1619654607087827,4.490054545454544,0.7731622111498464,-1302313.8076877631,19081404.04040401,11998767.548367724,2.0,2.0,9.1e-07,1.0,3.0,0.0,10.449005454545455
MAT775006M1F12515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,3.0,0.0,0.0
MAT775006M1F13907,2e-06,1.9568522613960114e-11,0.0480514794871794,4.869790833333333,0.4556652808302086,-73369.46859903382,135271967.5925926,17974155.36097803,3.0,3.0,2.3400000000000005e-06,1.0,3.0,0.0,15.486979083333333
MAT775006M1N25236,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71e-06,0.0,3.0,0.0,0.0
MAT775006N1A00565,2e-06,1.5039055555555558e-11,0.0075195277777777,1.082812,0.0902343333333336,-167100.61728395062,6015622.222222222,2559583.147314184,1.0,1.0,2.299999999999999e-06,1.0,3.0,0.0,5.1082812
MAT775006N1A02016,2e-06,5.015429978282828e-09,6.623671639071878,64.714061,14.751663673712663,1496082.210998879,1317515348.765432,228104092.42704388,19.0,18.0,1.7899999999999998e-06,4.0,3.0,0.0,99.4714061
MAT775006N1A02668,2e-06,5.0080236868481825e-09,4.7054273000857165,54.156248000000005,12.430252721849785,-7030166.300495069,970119574.074074,191410032.648318,13.0,14.0,1.5900000000000002e-06,5.0,3.0,0.0,72.4156248
MAT775006N1A02669,0.0,2.4209559368686867e-09,6.0329182840909095,25.341795,10.951093057006634,-145504378.67063493,122734355.55555557,313788047.3964859,4.0,2.0,3.2e-07,2.0,3.0,0.0,18.5341795
MAT775006N1B05123,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0
MAT775006N1B05165,2e-06,8.304225936868687e-10,1.149495558539945,36.874998,5.40001466435178,638941.7508417506,860243023.1481481,102834257.14934824,8.0,5.0,2.23e-06,1.0,3.0,0.0,37.6874998
MAT775006N1E15515,1e-06,1.2669863310405642e-09,6.652751962301587,26.507809,8.895845325849276,5919537.695379972,718966916.6666667,260584301.07064176,11.0,4.0,9.6e-07,3.0,3.0,0.0,43.6507809
MAT775006N1F18146,2e-06,2.965189005471381e-10,2.68287659564394,13.543748,4.158751020934538,-36249784.7800926,48092689.81481482,90682059.39085606,6.0,5.0,1.89e-06,3.0,3.0,0.0,29.3543748
MAT775006P1B05329,2e-06,1.0150945601312733e-08,13.814752156378397,63.35589999999999,21.94204851795213,-7968341.098278315,1308545478.3950615,301419773.94776744,29.0,26.0,1.4099999999999994e-06,5.0,3.0,0.0,145.33559
MAT775006P1C10510,1e-06,7.522827622053872e-11,0.9266712799736496,6.984374,1.8187759933006884,5293845.169082126,146306803.03030303,59840638.78858375,5.0,6.0,1.45e-06,3.0,3.0,0.0,27.6984374
MAT775006P1C10554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,3.0,0.0,0.0
MAT775007N1A01715,1e-06,3.005870436507937e-11,0.0972756493506493,0.6852671428571429,0.2266157741160347,-2223215.1875901874,4758799.603174603,6671626.488051634,2.0,2.0,1.3499999999999998e-06,0.0,3.0,0.0,10.068526714285714
